id_aux,anyo_proceso,fecha_nacimiento,rbd,cod_ens,regimen,rama_educacional,grupo_dependencia,anyo_egreso,codigo_region,codigo_provincia,codigo_comuna,codigo_region_d,codigo_comuna_d,situacion_egreso,bea,pace,pais_nacimiento,sexo,ingreso_percapita_grupo_fa
id_5803558870313,2025,2005-12-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,4
id_9265592876505,2025,2004-06-01,56.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,6
id_9036590673645,2025,2005-08-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,5
id_5857558375745,2025,2006-03-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,6
id_9076590577615,2025,2005-04-01,56.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_9439594373946,2025,2004-03-01,56.0,310.0,3.0,H1,2.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_9945599574553,2025,2002-08-01,56.0,310.0,3.0,H1,2.0,2020.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_9605596170506,2025,2005-09-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,4
id_9039590673972,2025,2005-07-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,10
id_9681596278178,2025,2005-10-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_9019590671980,2025,2005-07-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_9663596976332,2025,2005-08-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_5877558177730,2025,2006-02-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,10
id_8632586873298,2025,2001-11-01,56.0,310.0,3.0,H1,2.0,2019.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,1
id_9396593079695,2025,2005-02-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,8
id_6937969173745,2025,1995-06-01,56.0,310.0,3.0,H1,2.0,2012.0,15.0,151.0,15101.0,16,16101,5,No,No,210,2,1
id_9300593170064,2025,2005-01-01,56.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,8
id_9641596674165,2025,2005-12-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_9406594870627,2025,2004-02-01,56.0,310.0,3.0,H1,2.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_9674596477410,2025,2005-10-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,7
id_5814558171454,2025,2006-02-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,10
id_9350593575085,2025,2004-12-01,56.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,3
id_5817558271716,2025,2006-02-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,5
id_9622596272237,2025,2005-10-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_9197591879797,2025,2003-09-01,56.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
